id_ville,ville,lat,lon,jours_pluie,pluie_moyenne_mm,temp_moyenne_C,jours_ensoleilles,vent_moyen_m_s
0,Mont Saint Michel,48.636,-1.5115,6,6.48625,8.344999999999999,1,8.44125
1,St Malo,48.6495,-2.026,6,6.49,8.7375,1,10.4075
2,Bayeux,49.2765,-0.7025,5,4.59375,7.125,1,9.04125
3,Le Havre,49.4939,0.108,5,7.12875,6.71375,0,11.1675
4,Rouen,49.4405,1.094,4,5.535,6.11625,2,8.42125
5,Paris,48.8535,2.3484,5,4.827500000000001,5.6575,1,5.7837499999999995
6,Amiens,49.8942,2.2957,4,3.8525,5.52625,0,8.41625
7,Lille,50.6366,3.0635,3,0.895,5.41875,1,7.20625
8,Strasbourg,48.5846,7.7507,6,5.2775,4.43625,2,5.35375
9,Chateau du Haut Koenigsbourg,48.2494,7.3439,6,4.37875,1.37375,2,3.68375
10,Colmar,48.0778,7.358,6,5.06125,4.06375,2,4.08625
11,Eguisheim,48.0448,7.308,6,4.8525,3.78375,2,4.13
12,Besancon,47.238,6.0244,6,5.95125,6.6025,1,6.00125
13,Dijon,47.3216,5.0415,6,4.81375,6.235,2,6.68
14,Annecy,45.8992,6.1289,7,10.63125,5.37875,1,2.53125
15,Grenoble,45.1876,5.7358,8,10.268749999999999,6.56625,0,2.485
16,Lyon,45.7578,4.832,7,3.42625,8.20375,1,4.905
17,Gorges du Verdon,43.7497,6.3286,3,2.205,6.9525,5,5.55875
18,Bormes les Mimosas,43.1507,6.3419,5,1.57625,11.6775,3,9.91125
19,Cassis,43.214,5.5396,3,1.28125,10.84625,4,12.05625
20,Marseille,43.2962,5.37,3,1.1625,11.52125,4,12.64375
21,Aix en Provence,43.5298,5.4475,3,1.17875,10.43125,5,7.58375
22,Avignon,43.9492,4.8059,3,2.0125,10.85125,5,9.4925
23,Uzes,44.0121,4.4197,3,1.38875,10.995,3,7.7725
24,Nimes,43.8374,4.3601,3,1.32375,11.88125,3,7.5337499999999995
25,Aigues Mortes,43.5662,4.1915,5,1.3675,11.59125,1,10.21
26,Saintes Maries de la mer,43.4516,4.4277,4,1.4249999999999998,11.445,3,12.54125
27,Collioure,42.5251,3.0832,2,0.85875,12.5325,3,10.6225
28,Carcassonne,43.213,2.3491,6,7.0737499999999995,9.911249999999999,2,10.63375
29,Ariege,42.9455,1.4066,6,17.23125,4.4425,2,4.07125
30,Toulouse,43.6045,1.4442,7,4.72125,10.045,1,8.6225
31,Montauban,44.0176,1.355,7,6.67125,10.0175,1,8.22
32,Biarritz,43.4833,-1.5593,7,9.7725,12.25625,1,9.3875
33,Bayonne,43.4945,-1.4737,7,9.59375,12.2275,1,8.15375
34,La Rochelle,46.1597,-1.1516,6,5.52375,9.7375,0,12.63125
